Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
1,2023,'860719900',606,  ,KG,0,2532,25095,0,0,0,0,844,8365,0,0,0,0,844,8365,0,0,0,0,844,8365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860721000',103,  ,KG,0,38,741,0,0,0,0,0,0,0,8,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,345
1,2023,'860721000',105,  ,KG,0,258441,2127022,0,47733,312093,0,6914,117576,0,95086,637026,0,53942,323105,0,4994,73549,0,3310,64093,0,8868,111498,0,3862,39323,0,4212,126060,0,3888,101951,0,1911,38380,0,23721,182368
1,2023,'860721000',106,  ,KG,0,16495,189554,0,0,0,0,2984,66044,0,0,0,0,8188,54255,0,0,0,0,19,352,0,1024,8664,0,0,0,0,0,0,0,1026,18711,0,938,17820,0,2316,23708
1,2023,'860721000',108,  ,KG,0,1414,40265,0,0,0,0,0,0,0,0,0,0,0,0,0,424,13444,0,0,0,0,460,11900,0,0,0,0,0,0,0,12,527,0,506,13869,0,12,525
1,2023,'860721000',110,  ,KG,0,793,10277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793,10277
1,2023,'860721000',111,  ,KG,0,615,7421,0,262,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,44,556,0,0,0,0,215,3195,0,94,2622,0,0,0,0,0,0,0,0,0
1,2023,'860721000',112,  ,KG,0,5129,31500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2561,15750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,15750
1,2023,'860721000',118,  ,KG,0,4194,59829,0,0,0,0,0,0,0,0,0,0,68,524,0,2400,32930,0,0,0,0,0,0,0,0,0,0,0,0,0,22,489,0,115,3053,0,1589,22833
1,2023,'860721000',122,  ,KG,0,5670,30566,0,0,0,0,5670,30566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860721000',129,  ,KG,0,2228,14097,0,0,0,0,620,3497,0,740,5757,0,0,0,0,868,4843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860721000',140,  ,KG,0,370,18769,0,0,0,0,26,4392,0,0,0,0,1,293,0,0,0,0,0,0,0,97,1434,0,0,0,0,0,0,0,0,0,0,222,8258,0,24,4392
1,2023,'860721000',203,  ,KG,0,7,781,0,0,0,0,7,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
